ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
3e9fd20e-b81c-4698-a7c2-0559e10361fa,1979-08-24,,999-46-5746,S99951588,X43863756X,Mrs.,Norah104,Stamm704,,Hagenes547,M,white,french,F,Hanover  Massachusetts  US,678 Trantow Overpass,New Bedford,Massachusetts,02740
71917638-8142-42da-87f1-fa0ba642f161,1989-10-21,,999-95-8365,S99995552,X3761822X,Mr.,Eloy929,Dickinson688,,,M,white,english,M,Dover  Massachusetts  US,431 Armstrong Forge,Upton,Massachusetts,01568
ecd13907-7903-4886-a7f5-f6e687c758c4,2004-10-11,,999-57-6519,,,,Galina98,Murray856,,,,white,irish,F,Barnstable Town  Massachusetts  US,779 Ledner Road Suite 24,Quincy,Massachusetts,02169
a1dfeccd-86e4-473b-a4ab-bd613db0dc2f,1981-02-05,,999-96-3731,S99930729,X83502942X,Mrs.,Franchesca574,Kuhic920,,Goodwin327,M,white,italian,F,Worcester  Massachusetts  US,619 Stiedemann Rue Unit 49,Grafton,Massachusetts,01519
af1ee647-2278-4d36-8637-a1d043813116,1971-08-21,,999-96-3303,S99995087,X43449132X,Mrs.,Rosanna866,Hudson301,,Blick895,M,white,italian,F,Quincy  Massachusetts  US,812 Donnelly Alley Apt 72,Westborough,Massachusetts,01581
0321643e-675d-42df-b7b7-a994edf99d60,2011-08-23,,999-50-3413,,,,Marguerite497,Kunde533,,,,white,italian,F,Brockton  Massachusetts  US,474 Russel Parade,Shrewsbury,Massachusetts,01545
7a739bbe-76be-4327-8234-56b5d46dd38a,1988-06-15,,999-40-7959,S99973537,X25668173X,Mrs.,Francisca486,Gerlach374,,Kulas532,M,white,french,F,Freetown  Massachusetts  US,233 Will Run,Ashland,Massachusetts,01721
1eb30352-5aba-4fee-9bd2-4487efe0237f,1977-12-03,,999-23-2701,S99926742,X36865919X,Mrs.,Delinda651,Leuschke194,,Lowe577,M,white,french_canadian,F,Berlin  Massachusetts  US,727 Mills Common,Middleborough,Massachusetts,02346
224ee73f-e6ee-497f-908b-937971ed4f5d,1983-05-07,,999-36-2962,S99993353,X40513715X,Mrs.,Lucile200,Kassulke119,,Denesik803,M,asian,chinese,F,Hong Kong  Hong Kong Special Administrative Region  CN,963 Kovacek Manor,Acton,Massachusetts,01720
7abcf886-1e35-4d51-8194-ac3a60151a3c,1969-01-05,2008-01-08,999-16-1417,S99950218,X15834921X,Mrs.,Odelia236,Rodriguez71,,Legros616,M,white,irish,F,Newton  Massachusetts  US,662 Grady Wynd Apt 10,Amesbury Town,Massachusetts,01913
8d2d7a32-cca3-4160-bca8-1a9a1fda87cb,1971-11-30,,999-54-6217,S99960663,X45813664X,Mr.,John539,Funk324,,,M,asian,chinese,M,Macau  Macao Special Administrative Region of the People's Republic of China  CN,881 Ferry Bypass,Rockland,Massachusetts,02370
3f620118-1054-412a-8feb-1b10f01fa61c,1979-03-31,,999-77-5967,S99960152,X25830373X,Mr.,Brad867,Anderson154,,,M,white,irish,M,Williamstown  Massachusetts  US,504 Yundt Meadow Suite 79,Cambridge,Massachusetts,02138
30040a13-4e26-419e-acd2-0164a3e02a18,1969-12-30,,999-26-3372,S99944836,X41240732X,Mrs.,Marilu588,Domínquez36,,Cardona494,M,black,west_indian,F,Santo Domingo  National District  DO,771 O'Conner Common,Holyoke,Massachusetts,01040
e8f86eb9-d5d8-4836-8467-3df2f4ef1b95,1988-05-07,,999-29-5418,S99964020,X38938973X,Mrs.,Leighann368,Murray856,,Krajcik437,M,white,italian,F,Waltham  Massachusetts  US,807 Howell Run,Abington,Massachusetts,02351
bf086ba1-188c-48fd-b81a-74ae29b49ffe,1987-04-21,,999-53-2793,S99933079,X29376428X,Mrs.,Beula159,Bernier607,,Wilkinson796,M,white,irish,F,Natick  Massachusetts  US,472 Schaefer Center Apt 46,Buckland,Massachusetts,01338
0ad78bf2-dd8e-4dd1-804c-6527c394b2ae,2014-12-22,,999-98-8145,,,,Petra678,Pagac496,,,,white,italian,F,Northampton  Massachusetts  US,578 Mills Plaza,Sudbury,Massachusetts,01776
ef8b7243-1eee-4bd2-a07c-888127e26175,1969-01-05,,999-45-9405,S99931423,X33206125X,Mrs.,Skye332,Orn563,,Nader710,M,white,irish,F,Rockland  Massachusetts  US,112 Huel Trafficway,Amesbury Town,Massachusetts,01913
ce4cf349-7435-44c5-b7b5-35f232ef5d12,1956-05-19,,999-68-4214,S99949646,X7005364X,Mr.,Toney527,Kemmer137,,,M,white,swedish,M,Rockland  Massachusetts  US,1051 Bayer Common,Amesbury Town,Massachusetts,01913
bbf15b32-fe80-4364-a076-ed386a806e78,1978-01-23,,999-46-4575,S99946387,X10464819X,Mrs.,Claudie965,Luettgen772,,Gulgowski816,M,black,west_indian,F,Bridgewater  Massachusetts  US,615 Jacobson Station,Salisbury,Massachusetts,01952
55ed2d76-7d9f-4958-9746-209337a6d6a8,1996-02-23,,999-12-4419,S99911468,X30298855X,Ms.,Danyelle408,Bahringer146,,,,white,irish,F,Braintree Town  Massachusetts  US,244 Rice Lodge Suite 77,Boston,Massachusetts,02108
87a78a01-9b41-4cf5-ad87-92c1634f6c48,2002-01-21,,999-48-9667,S99972216,,,Alvin56,Bartoletti50,,,,white,irish,M,Acushnet  Massachusetts  US,422 Hauck Crossing Suite 91,Amesbury Town,Massachusetts,01913
7092bed3-17a5-43b6-b3d3-f2d29a784fcb,1918-12-03,2005-02-16,999-68-4144,S99944826,X38634668X,Mrs.,Kelley882,Reynolds644,,Leannon79,M,white,polish,F,Lynn  Massachusetts  US,778 Hammes Rue,Barnstable Town,Massachusetts,02601
402dd8b2-3411-4cba-8e96-e287afa7e1c9,1964-10-17,,999-43-2877,S99956886,X60609189X,Mr.,Simon598,Schinner682,,,M,asian,chinese,M,Beijing  Beijing Municipality  CN,1001 Veum Divide Unit 66,Pepperell,Massachusetts,01463
9a89bf3d-8e6c-42ec-82d8-d4aaff10e254,1985-10-25,,999-69-9854,S99947502,X71777400X,Ms.,Audie868,Murray856,,,S,asian,chinese,F,Shanghai  Shanghai Municipality  CN,105 Thiel Promenade,Burlington,Massachusetts,01803
4298ae41-3da7-436c-a736-c7635f7bb994,1956-10-19,,999-40-3447,S99943451,X81782807X,Mrs.,Lewis216,Deckow585,,Larkin917,M,white,irish,F,Boston  Massachusetts  US,911 Bergstrom Trafficway Unit 57,Lawrence,Massachusetts,01840
2847c8f5-89a9-4965-8c8b-86b96624392b,1998-10-05,,999-90-2593,S99947285,X31836309X,Ms.,Sharyl439,Pollich983,,,,white,french,F,New Bedford  Massachusetts  US,472 Reilly Road Apt 87,Cambridge,Massachusetts,02138
46d8446b-b4ec-4363-a5c7-90093a71fd89,1985-04-29,,999-72-6148,S99950068,X63054892X,Mrs.,Cristi782,Bayer639,,Strosin214,M,white,french,F,Conway  Massachusetts  US,473 Waters Lodge Suite 13,Attleboro,Massachusetts,02703
47c75106-0e55-44c0-8808-3e37d4debd50,1951-02-10,,999-62-5027,S99927074,X89102351X,Mrs.,Lavona767,Yundt842,,Smith67,M,white,french,F,Lynn  Massachusetts  US,526 Lockman Crossroad Unit 80,Medway,Massachusetts,02053
4a29aa0c-75a1-4083-be05-255a7b34a962,1954-04-08,,999-34-7498,S99998532,X2023370X,Mr.,Vicente970,Wiza601,,,S,black,west_indian,M,Port-au-Prince  Haiti  HT,766 Collier Quay Unit 29,North Attleborough,Massachusetts,
8e3256d4-77ff-4c75-ae12-1c3542e0f249,1949-11-17,,999-30-3563,S99949776,X51035942X,Mrs.,Jesenia223,Nitzsche158,,Runolfsson901,M,white,irish,F,Boston  Massachusetts  US,137 Feeney Run,Holden,Massachusetts,01520
e5313cff-a9f9-42f9-8045-fe520cf9ada4,2008-01-02,,999-64-8578,,,,Isaac321,Hayes766,,,,white,polish,M,Boston  Massachusetts  US,573 Sawayn Dam,Ludlow,Massachusetts,01056
3d287899-4841-4637-b80d-44bb492ea2ce,1977-04-05,,999-32-1656,S99912864,X1477507X,Ms.,Robbi844,Swaniawski813,,,S,white,german,F,Middleborough  Massachusetts  US,292 Abernathy Lodge Suite 97,Sandwich,Massachusetts,02563
78fb6d4c-cdad-423d-85ef-085b8cb61bd2,1918-12-03,1996-02-24,999-71-8040,S99941545,X12953996X,Mrs.,Hwa978,Krajcik437,,Kassulke119,M,white,polish,F,Lee  Massachusetts  US,1045 Terry Bypass Apt 17,Barnstable Town,Massachusetts,02601
ca3c0efa-a343-4dc1-8292-389aed442b0f,1995-01-21,,999-84-5961,S99930692,X27899054X,Ms.,Kristal814,Herzog843,,,,white,german,F,Stockbridge  Massachusetts  US,355 Sawayn Meadow,Springfield,Massachusetts,01013
92cf0b13-bb94-427d-89cf-591edb799e75,2003-06-12,,999-59-8531,,,,Syreeta495,Marquardt819,,,,white,french,F,Marshfield  Massachusetts  US,299 Emmerich Crossing Apt 28,Attleboro,Massachusetts,02703
